RE6_alpha,RE6_CL,RE6_CD,RE6_CDp
-6,-0.5108,0.0337,0.03078
-5,-0.4182,0.02639,0.02285
-4,-0.2935,0.01041,0.00523
-3,-0.1815,0.00863,0.00325
-2,-0.0785,0.00794,0.00217
-1,0.0279,0.00774,0.00146
0,0.1272,0.00603,0.00103
1,0.2217,0.00576,0.00124
2,0.3687,0.00661,0.00154
3,0.5013,0.00714,0.00179
4,0.6009,0.00762,0.00215
5,0.702,0.00811,0.00261
6,0.8045,0.00868,0.00318
7,0.9086,0.00936,0.00384
8,1.0128,0.01021,0.00468
9,1.1122,0.01176,0.00604
10,1.2019,0.01461,0.00863
11,1.2903,0.01727,0.01147
12,1.3703,0.02039,0.0149
13,1.4368,0.02404,0.01894
14,1.4455,0.03067,0.02603
15,1.4352,0.04303,0.03894
16,1.3521,0.07311,0.06966
17,1.2447,0.10597,0.10296
18,1.1906,0.13165,0.12895
19,1.1601,0.15423,0.15181
20,1.139,0.17634,0.17419
